Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,formatted_date
140,Shajapur,Shajapur,Onion,Medium,FAQ,639,2751,2571,31 Jul 2024,31-07-2024
141,Shajapur,Shajapur,Onion,Onion,FAQ,105,1118,911,18 Mar 2024,18-03-2024
142,Shajapur,Shajapur,Onion,Medium,FAQ,546,4300,3968,20 Sep 2024,20-09-2024
143,Shajapur,Shajapur,Onion,Onion,FAQ,500,955,114,20 Jan 2024,20-01-2024
144,Shajapur,Shajapur,Onion,Onion,FAQ,750,1413,146,21 Feb 2024,21-02-2024
145,Shajapur,Shajapur,Onion,Medium,FAQ,175,1576,1500,04 Apr 2024,04-04-2024
146,Shajapur,Shajapur,Onion,Medium,FAQ,349,984,125,25 Jan 2024,25-01-2024
147,Shajapur,Shajapur,Onion,Medium,FAQ,418,3732,3103,05 Sep 2024,05-09-2024
148,Shajapur,Shajapur,Onion,Onion,FAQ,468,1119,1259,20 Mar 2024,20-03-2024
149,Shajapur,Shajapur,Onion,Medium,FAQ,945,2795,2735,03 Aug 2024,03-08-2024
150,Shajapur,Shajapur,Onion,Medium,FAQ,958,3781,3775,02 Sep 2024,02-09-2024
151,Shajapur,Shajapur,Onion,Onion,FAQ,3400,3957,3800,18 Sep 2024,18-09-2024
152,Shajapur,Shajapur,Onion,Medium,FAQ,350,7400,1310,24 May 2024,24-05-2024
153,Shajapur,Shajapur,Onion,Medium,FAQ,997,1898,997,04 Jan 2024,04-01-2024
154,Shajapur,Shajapur,Onion,Onion,FAQ,790,1198,200,15 Feb 2024,15-02-2024
155,Shajapur,Shajapur,Onion,Onion,FAQ,1000,1515,1505,07 May 2024,07-05-2024
156,Shajapur,Shajapur,Onion,Onion,FAQ,1442,1777,1851,16 Apr 2024,16-04-2024
157,Shajapur,Shajapur,Onion,Onion,FAQ,1255,1611,1803,06 Jun 2024,06-06-2024
158,Shajapur,Shajapur,Onion,Medium,FAQ,110,2051,110,20 Feb 2024,20-02-2024
159,Shajapur,Shajapur,Onion,Medium,FAQ,182,1382,182,02 Feb 2024,02-02-2024
160,Shajapur,Shajapur,Onion,Medium,FAQ,600,1700,600,15 Jan 2024,15-01-2024
161,Shajapur,Shajapur,Onion,Medium,FAQ,350,1815,1600,08 May 2024,08-05-2024
162,Shajapur,Shajapur,Onion,Onion,FAQ,1013,1013,100,09 Feb 2024,09-02-2024
163,Shajapur,Shajapur,Onion,Onion,FAQ,983,1140,289,08 Feb 2024,08-02-2024
164,Shajapur,Shajapur,Onion,Medium,FAQ,427,1651,1651,22 May 2024,22-05-2024
165,Shajapur,Shajapur,Onion,Medium,FAQ,603,3911,3270,23 Aug 2024,23-08-2024
166,Shajapur,Shajapur,Onion,Onion,FAQ,1412,1412,351,06 Jan 2024,06-01-2024
167,Shajapur,Shajapur,Onion,Onion,FAQ,3058,3550,3350,27 Aug 2024,27-08-2024
168,Shajapur,Shajapur,Onion,Onion,FAQ,1200,2394,2406,20 Jun 2024,20-06-2024
169,Shajapur,Shajapur,Onion,Medium,FAQ,569,3732,3356,22 Aug 2024,22-08-2024
170,Shajapur,Shajapur,Onion,Medium,FAQ,350,1551,1500,01 May 2024,01-05-2024
171,Shajapur,Shajapur,Onion,Onion,FAQ,2673,2675,2675,02 Aug 2024,02-08-2024
172,Shajapur,Shajapur,Onion,Medium,FAQ,450,1514,450,28 Feb 2024,28-02-2024
173,Shajapur,Shajapur,Onion,Onion,FAQ,600,600,1400,14 Feb 2024,14-02-2024
174,Shajapur,Shajapur,Onion,Onion,FAQ,1276,1276,1152,06 Apr 2024,06-04-2024
175,Shajapur,Shajapur,Onion,Onion,FAQ,554,1400,388,17 Feb 2024,17-02-2024
176,Shajapur,Shajapur,Onion,Medium,FAQ,210,7200,1011,04 Mar 2024,04-03-2024
177,Shajapur,Shajapur,Onion,Medium,FAQ,557,3500,2776,30 Aug 2024,30-08-2024
178,Shajapur,Shajapur,Onion,Medium,FAQ,900,4023,3752,03 Sep 2024,03-09-2024
179,Shajapur,Shajapur,Onion,Onion,FAQ,920,1787,1787,15 Apr 2024,15-04-2024
180,Shajapur,Shajapur,Onion,Onion,FAQ,2800,3325,3279,29 Aug 2024,29-08-2024
181,Shajapur,Shajapur,Onion,Medium,FAQ,705,1547,1547,20 Apr 2024,20-04-2024
182,Shajapur,Shajapur,Onion,Medium,FAQ,890,1436,890,16 Jan 2024,16-01-2024
183,Shajapur,Shajapur,Onion,Medium,FAQ,800,3677,3375,28 Aug 2024,28-08-2024
184,Shajapur,Shajapur,Onion,Medium,FAQ,437,2765,2404,26 Jun 2024,26-06-2024
185,Shajapur,Shajapur,Onion,Medium,FAQ,230,1491,1491,17 May 2024,17-05-2024
186,Shajapur,Shajapur,Onion,Medium,FAQ,423,1449,1449,08 Apr 2024,08-04-2024
187,Shajapur,Shajapur,Onion,Medium,FAQ,377,1726,377,08 Jan 2024,08-01-2024
188,Shajapur,Shajapur,Onion,Onion,FAQ,1216,1216,1276,29 Apr 2024,29-04-2024
189,Shajapur,Shajapur,Onion,Medium,FAQ,445,2314,1849,10 Jun 2024,10-06-2024
190,Shajapur,Shajapur,Onion,Onion,FAQ,1384,1530,1535,13 Apr 2024,13-04-2024
191,Shajapur,Shajapur,Onion,Onion,FAQ,1050,1050,599,27 May 2024,27-05-2024
192,Shajapur,Shajapur,Onion,Medium,FAQ,735,3000,2557,06 Aug 2024,06-08-2024
193,Shajapur,Shajapur,Onion,Onion,FAQ,1064,1064,752,07 Feb 2024,07-02-2024
194,Shajapur,Shajapur,Onion,Onion,FAQ,2200,2200,2200,11 Jul 2024,11-07-2024
195,Shajapur,Shajapur,Onion,Medium,FAQ,435,1697,435,12 Jan 2024,12-01-2024
196,Shajapur,Shajapur,Onion,Medium,FAQ,452,2200,1400,12 Jun 2024,12-06-2024
197,Shajapur,Shajapur,Onion,Medium,FAQ,204,1166,441,06 Feb 2024,06-02-2024
198,Shajapur,Shajapur,Onion,Onion,FAQ,318,1100,318,16 Feb 2024,16-02-2024
199,Shajapur,Shajapur,Onion,Medium,FAQ,633,1545,1545,03 May 2024,03-05-2024
200,Shajapur,Shajapur,Onion,Onion,FAQ,1880,2724,2575,22 Jun 2024,22-06-2024
201,Shajapur,Shajapur,Onion,Medium,FAQ,381,1341,381,18 Jan 2024,18-01-2024
202,Shajapur,Shajapur,Onion,Medium,FAQ,1400,1400,1400,28 Apr 2024,28-04-2024
203,Shajapur,Shajapur,Onion,Medium,FAQ,165,13200,165,03 Feb 2024,03-02-2024
204,Shajapur,Shajapur,Onion,Onion,FAQ,1081,1266,1636,23 Apr 2024,23-04-2024
205,Shajapur,Shajapur,Onion,Medium,FAQ,218,218,218,04 Feb 2024,04-02-2024
206,Shajapur,Shajapur,Onion,Medium,FAQ,463,1468,463,05 Jan 2024,05-01-2024
207,Shajapur,Shajapur,Onion,Onion,FAQ,800,1273,300,23 Feb 2024,23-02-2024
208,Shajapur,Shajapur,Onion,Medium,FAQ,446,970,970,23 Mar 2024,23-03-2024
209,Shajapur,Shajapur,Onion,Medium,FAQ,300,3391,3391,11 May 2024,11-05-2024
210,Shajapur,Shajapur,Onion,Medium,FAQ,933,3475,3228,12 Aug 2024,12-08-2024
211,Shajapur,Shajapur,Onion,Onion,FAQ,590,1126,381,18 Jan 2024,18-01-2024
212,Shajapur,Shajapur,Onion,Medium,FAQ,347,2304,1803,06 Jun 2024,06-06-2024
213,Shajapur,Shajapur,Onion,Onion,FAQ,4049,4141,4141,19 Sep 2024,19-09-2024
214,Shajapur,Shajapur,Onion,Medium,FAQ,756,3509,3284,09 Sep 2024,09-09-2024
215,Shajapur,Shajapur,Onion,Onion,FAQ,2568,3249,3249,14 Aug 2024,14-08-2024
216,Shajapur,Shajapur,Onion,Medium,FAQ,145,1082,475,29 Jan 2024,29-01-2024
217,Shajapur,Shajapur,Onion,Onion,FAQ,3120,4236,3350,20 Sep 2024,20-09-2024
218,Shajapur,Shajapur,Onion,Medium,FAQ,478,2192,1447,07 Jun 2024,07-06-2024
219,Shajapur,Shajapur,Onion,Medium,FAQ,880,3047,2813,01 Jul 2024,01-07-2024
220,Shajapur,Shajapur,Onion,Onion,FAQ,500,1008,165,03 Feb 2024,03-02-2024
221,Shajapur,Shajapur,Onion,Medium,FAQ,400,1826,400,19 Feb 2024,19-02-2024
222,Shajapur,Shajapur,Onion,Onion,FAQ,1191,1191,1619,09 May 2024,09-05-2024
223,Shajapur,Shajapur,Onion,Medium,FAQ,523,1919,1600,06 May 2024,06-05-2024
224,Shajapur,Shajapur,Onion,Medium,FAQ,662,3356,2946,17 Aug 2024,17-08-2024
225,Shajapur,Shajapur,Onion,Onion,FAQ,2500,3000,3000,31 Aug 2024,31-08-2024
226,Shajapur,Shajapur,Onion,Medium,FAQ,513,2701,2575,22 Jun 2024,22-06-2024
227,Shajapur,Shajapur,Onion,Onion,FAQ,3265,3347,3347,12 Aug 2024,12-08-2024
228,Shajapur,Shajapur,Onion,Medium,FAQ,1150,1150,1150,16 Sep 2024,16-09-2024
229,Shajapur,Shajapur,Onion,Medium,FAQ,470,2797,2434,21 Jun 2024,21-06-2024
230,Shajapur,Shajapur,Onion,Onion,FAQ,1460,1675,232,26 Feb 2024,26-02-2024
231,Shajapur,Shajapur,Onion,Medium,FAQ,205,7145,867,13 Mar 2024,13-03-2024
232,Shajapur,Shajapur,Onion,Onion,FAQ,750,1311,1800,29 Feb 2024,29-02-2024
233,Shajapur,Shajapur,Onion,Onion,FAQ,968,968,327,19 Jan 2024,19-01-2024
234,Shajapur,Shajapur,Onion,Onion,FAQ,600,4816,1011,04 Mar 2024,04-03-2024
235,Shajapur,Shajapur,Onion,Nasik,FAQ,3850,3850,3850,20 Sep 2024,20-09-2024
236,Shajapur,Shajapur,Onion,Medium,FAQ,249,1599,1599,05 Apr 2024,05-04-2024
237,Shajapur,Shajapur,Onion,Medium,FAQ,358,2866,599,27 May 2024,27-05-2024
238,Shajapur,Shajapur,Onion,Onion,FAQ,964,964,1521,25 Apr 2024,25-04-2024
239,Shajapur,Shajapur,Onion,Medium,FAQ,136,840,650,30 Jan 2024,30-01-2024
240,Shajapur,Shajapur,Onion,Onion,FAQ,785,785,655,01 Feb 2024,01-02-2024
241,Shajapur,Shajapur,Onion,Medium,FAQ,755,1880,755,02 Jan 2024,02-01-2024
242,Shajapur,Shajapur,Onion,Medium,FAQ,386,1600,1300,25 May 2024,25-05-2024
243,Shajapur,Shajapur,Onion,Medium,FAQ,189,1505,978,22 Feb 2024,22-02-2024
244,Shajapur,Shajapur,Onion,Medium,FAQ,384,1259,1259,20 Mar 2024,20-03-2024
245,Shajapur,Shajapur,Onion,Local,FAQ,3470,3470,3470,27 Aug 2024,27-08-2024
246,Shajapur,Shajapur,Onion,Onion,FAQ,954,1318,1600,08 May 2024,08-05-2024
247,Shajapur,Shajapur,Onion,Medium,FAQ,937,3011,2873,07 Aug 2024,07-08-2024
248,Shajapur,Shajapur,Onion,Medium,FAQ,565,4465,3828,14 Sep 2024,14-09-2024
249,Shajapur,Shajapur,Onion,Onion,FAQ,3771,3771,3771,03 Sep 2024,03-09-2024
250,Shajapur,Shajapur,Onion,Medium,FAQ,162,1200,911,18 Mar 2024,18-03-2024
251,Shajapur,Shajapur,Onion,Medium,FAQ,370,1626,1357,16 May 2024,16-05-2024
252,Shajapur,Shajapur,Onion,Onion,FAQ,3000,3362,3362,09 Sep 2024,09-09-2024
253,Shajapur,Shajapur,Onion,Medium,FAQ,700,3851,3368,04 Sep 2024,04-09-2024
254,Shajapur,Shajapur,Onion,Medium,FAQ,170,1101,1217,22 Mar 2024,22-03-2024
255,Shajapur,Shajapur,Onion,Medium,FAQ,344,1613,1613,27 Apr 2024,27-04-2024
256,Shajapur,Shajapur,Onion,Medium,FAQ,1150,3694,3556,11 Sep 2024,11-09-2024
257,Shajapur,Shajapur,Onion,Onion,FAQ,1125,1125,1835,13 Jun 2024,13-06-2024
258,Shajapur,Shajapur,Onion,Onion,FAQ,525,1452,1525,14 Mar 2024,14-03-2024
259,Shajapur,Shajapur,Onion,Onion,FAQ,800,898,867,13 Mar 2024,13-03-2024
260,Shajapur,Shajapur,Onion,Medium,FAQ,349,1647,1647,26 Apr 2024,26-04-2024
261,Shajapur,Shajapur,Onion,Onion,FAQ,2200,2700,2200,06 Aug 2024,06-08-2024
262,Shajapur,Shajapur,Onion,Onion,FAQ,1217,1217,1217,22 Mar 2024,22-03-2024
263,Shajapur,Shajapur,Onion,Medium,FAQ,594,4201,3364,18 Sep 2024,18-09-2024
264,Shajapur,Shajapur,Onion,Medium,FAQ,910,2857,2395,29 Jun 2024,29-06-2024
265,Shajapur,Shajapur,Onion,Medium,FAQ,840,2845,2715,13 Jul 2024,13-07-2024
266,Shajapur,Shajapur,Onion,Onion,FAQ,3360,3603,3603,23 Aug 2024,23-08-2024
267,Shajapur,Shajapur,Onion,Medium,FAQ,592,3093,2461,09 Jul 2024,09-07-2024
268,Shajapur,Shajapur,Onion,Medium,FAQ,1020,9000,2633,06 Jul 2024,06-07-2024
