Index,Value
269,"('4', 'Maize')"
270,"('20', 'Mango')"
271,"('172', 'Mango (Raw-Ripe)')"
272,"('422', 'mango powder')"
273,"('225', 'Maragensu')"
274,"('181', 'Marasebu')"
275,"('407', 'Marget')"
276,"('235', 'Marigold(Calcutta)')"
277,"('405', 'Marigold(loose)')"
278,"('502', 'Marikozhunthu')"
279,"('60', 'Mash')"
280,"('340', 'Mashrooms')"
281,"('259', 'Masur Dal')"
282,"('93', 'Mataki')"
283,"('47', 'Methi Seeds')"
284,"('46', 'Methi(Leaves)')"
285,"('237', 'Millets')"
286,"('360', 'Mint(Pudina)')"
287,"('258', 'Moath Dal')"
288,"('95', 'Moath Dal')"
289,"('77', 'Mousambi(Sweet Lime)')"
290,"('446', 'Muesli')"
291,"('428', 'Muleti')"
292,"('516', 'Muskmelon Seeds')"
293,"('12', 'Mustard')"
294,"('324', 'Mustard Oil')"
295,"('142', 'Myrobolan(Harad)')"
296,"('245', 'Nargasi')"
297,"('222', 'Nearle Hannu')"
298,"('126', 'Neem Seed')"
299,"('223', 'Nelli Kai')"
300,"('500', 'Nerium')"
301,"('424', 'nigella seeds')"
302,"('445', 'nigella seeds')"
303,"('98', 'Niger Seed (Ramtil)')"
304,"('106', 'Nutmeg')"
305,"('23', 'Onion')"
306,"('358', 'Onion Green')"
307,"('18', 'Orange')"
308,"('381', 'Orchid')"
309,"('420', 'Other green and fresh vegetables')"
310,"('97', 'Other Pulses')"
311,"('213', 'Ox')"
312,"('414', 'Paddy(Dhan)(Basmati)')"
313,"('2', 'Paddy(Dhan)(Common)')"
314,"('441', 'Palash flowers')"
315,"('72', 'Papaya')"
316,"('313', 'Papaya (Raw)')"
317,"('404', 'Patti Calcutta')"
318,"('331', 'Peach')"
319,"('330', 'Pear(Marasebu)')"
320,"('308', 'Peas cod')"
321,"('174', 'Peas Wet')"
322,"('347', 'Peas(Dry)')"
323,"('301', 'Pegeon Pea (Arhar Fali)')"
324,"('109', 'Pepper garbled')"
325,"('110', 'Pepper ungarbled')"
326,"('489', 'Perandai')"
327,"('327', 'Persimon(Japani Fal)')"
328,"('220', 'Pigs')"
329,"('21', 'Pineapple')"
330,"('431', 'pippali')"
331,"('329', 'Plum')"
332,"('303', 'Pointed gourd (Parval)')"
333,"('240', 'Polherb')"
334,"('190', 'Pomegranate')"
335,"('425', 'Poppy capsules')"
336,"('421', 'poppy seeds')"
337,"('24', 'Potato')"
338,"('84', 'Pumpkin')"
339,"('254', 'Pundi')"
340,"('128', 'Pundi Seed')"
341,"('447', 'Pupadia')"
342,"('161', 'Raddish')"
343,"('30', 'Ragi (Finger Millet)')"
344,"('409', 'Raibel')"
345,"('248', 'Rajgir')"
346,"('517', 'Rala')"
347,"('282', 'Ram')"
348,"('518', 'Ramphal')"
349,"('307', 'Rat Tail Radish (Mogari)')"
350,"('460', 'Ratanjot')"
351,"('65', 'Raya')"
352,"('519', 'Rayee')"
353,"('493', 'Red Cabbage')"
354,"('7', 'Red Gram')"
355,"('322', 'Resinwood')"
356,"('62', 'Riccbcan')"
357,"('3', 'Rice')"
358,"('160', 'Ridgeguard(Tori)')"
359,"('374', 'Rose(Local)')"
360,"('228', 'Rose(Loose))')"
361,"('373', 'Rose(Tata)')"
362,"('306', 'Round gourd')"
363,"('111', 'Rubber')"
364,"('291', 'Sabu Dan')"
365,"('59', 'Safflower')"
366,"('338', 'Saffron')"
367,"('271', 'Sajje')"
368,"('468', 'salvia')"
369,"('122', 'Same/Savi')"
370,"('433', 'sanay')"
371,"('450', 'Sandalwood')"
372,"('247', 'Sarasum')"
373,"('277', 'Season Leaves')"
374,"('253', 'Seegu')"
375,"('176', 'Seemebadnekai')"
376,"('201', 'Seetapal')"
377,"('11', 'Sesamum(Sesame,Gingelly,Til)')"
378,"('464', 'sevanti')"
379,"('217', 'She Buffalo')"
380,"('283', 'She Goat')"
381,"('218', 'Sheep')"
382,"('183', 'Siddota')"
383,"('490', 'Siru Kizhagu')"
384,"('226', 'Skin And Hide')"
385,"('156', 'Snakeguard')"
386,"('135', 'Soanf')"
387,"('207', 'Soapnut(Antawala/Retha)')"
388,"('520', 'Soha')"
389,"('286', 'Soji')"
390,"('246', 'Sompu')"
391,"('13', 'Soyabean')"
392,"('455', 'spikenard')"
393,"('342', 'Spinach')"
394,"('311', 'Sponge gourd')"
395,"('332', 'Squash(Chappal Kadoo)')"
396,"('440', 'stevia')"
397,"('430', 'stone pulverizer')"
398,"('48', 'Sugar')"
399,"('150', 'Sugarcane')"
400,"('488', 'Sundaikai')"
401,"('14', 'Sunflower')"
402,"('285', 'Sunflower Seed')"
403,"('139', 'Sunhemp')"
404,"('242', 'Suram')"
405,"('300', 'Surat Beans (Papadi)')"
406,"('255', 'Suva (Dill Seed)')"
407,"('178', 'Suvarna Gadde')"
408,"('152', 'Sweet Potato')"
409,"('173', 'Sweet Pumpkin')"
410,"('466', 'Sweet Sultan')"
411,"('477', 'sweet william')"
412,"('120', 'T.V. Cumbu')"
413,"('261', 'Tamarind Fruit')"
414,"('208', 'Tamarind Seed')"
415,"('100', 'Tapioca')"
416,"('76', 'Taramira')"
417,"('44', 'Tea')"
418,"('200', 'Tender Coconut')"
419,"('116', 'Thinai (Italian Millet)')"
420,"('170', 'Thogrikai')"
421,"('162', 'Thondekai')"
422,"('349', 'Tinda')"
423,"('141', 'Tobacco')"
424,"('78', 'Tomato')"
425,"('323', 'Torchwood')"
426,"('66', 'Toria')"
427,"('234', 'Tube Flower')"
428,"('401', 'Tube Rose(Double)')"
429,"('408', 'Tube Rose(Loose)')"
430,"('377', 'Tube Rose(Single)')"
431,"('503', 'Tulasi')"
432,"('463', 'tulip')"
433,"('39', 'Turmeric')"
434,"('309', 'Turmeric (raw)')"
435,"('341', 'Turnip')"
436,"('436', 'vadang')"
437,"('437', 'Vatsanabha')"
438,"('343', 'Walnut')"
439,"('496', 'Water Apple')"
440,"('521', 'Water chestnut')"
441,"('73', 'Water Melon')"
442,"('522', 'Wax')"
443,"('1', 'Wheat')"
444,"('287', 'Wheat Atta')"
445,"('429', 'White Muesli')"
446,"('412', 'White Peas')"
447,"('158', 'White Pumpkin')"
448,"('498', 'Wild lemon')"
449,"('203', 'Wood')"
450,"('499', 'Wood Apple')"
451,"('348', 'Wool')"
452,"('244', 'Yam')"
453,"('297', 'Yam (Ratalu)')"
